ods_type_activite|categorie|commune|siret|Nom|numero_inspection|geores|filtre|date_inspection|code_postal|evaluation|adresse|agrement|lat|lon
Autres|Restauration collective|Saint-Étienne-lès-Remiremont|21880415100015|MAIRIE COMMUNE DE SAINT ETIENNE LES REMIREMONT|23-000658-1|[48.023693, 6.609453]|Restauration collective|2023-01-05T01:00:00+01:00|88200|Très satisfaisant|31 route de Xennois||48.023693|6.609453
Autres|Restauration collective|Antonne-et-Trigonant|21240011300016|MAIRIE COMMUNE DE ANTONNE ET TRIGONANT|22-018936-1|[45.200213, 0.821676]|Restauration collective|2022-03-11T01:00:00+01:00|24420|Très satisfaisant|Mairie d'Antonne||45.200213|0.821676
Autres|Restauration collective|Jouy-le-Moutier|77562927201472|EA ANAIS IDF JOUY-LE-MOUTIER CUISINE CENTRALE|22-072447-1|[49.020714, 2.022891]|Restauration collective|2022-09-12T02:00:00+02:00|95280|Très satisfaisant|31 RUE DES VALANCHARDS|95323001|49.020714|2.022891
Autres|Restaurant|Paris 19e  Arrondissement|82277556500028|LE COMITE|22-073596-1|[48.876029, 2.381652]|Restaurant|2022-09-20T02:00:00+02:00|75019|A améliorer|6 RUE BOTZARIS||48.876029|2.381652
Autres|Restauration collective|Fontaine-Simon|77557534300295|ASS DEP PUPILLES ENSEIG PUBLIC EURE&LOIR|22-067948-1|[48.512661, 1.018043]|Restauration collective|2022-07-27T02:00:00+02:00|28240|Satisfaisant|3, rue de la ferrière||48.512661|1.018043
Autres|Restaurant|Paris 10e  Arrondissement|75368671600014|KYUSHU|22-040423-1|[48.882591, 2.349757]|Restaurant|2022-05-25T02:00:00+02:00|75010|Satisfaisant|168 RUE DU FAUBOURG POISSONNIERE||48.882591|2.349757
Autres|Restauration collective|Saint-Bonnet-le-Château|19420038200019|COLLEGE EMILE FALABREGUE|22-092682-1|[45.422166, 4.067814]|Restauration collective|2022-11-21T01:00:00+01:00|42380|Très satisfaisant|rue de la chatelaine||45.422166|4.067814
Autres|Restauration collective|Rocles|21030214700017|MAIRIE COMMUNE DE ROCLES|22-076801-1|[46.449317, 3.03533]|Restauration collective|2022-09-29T02:00:00+02:00|03240|Très satisfaisant|MAIRIE||46.449317|3.03533
Autres|Restauration collective|Dieuze|19570021600011|LYCEE POLYVALENT CHARLES HERMITE|22-000023-1|[48.809128, 6.722219]|Restauration collective|2022-05-23T02:00:00+02:00|57260|Très satisfaisant|6, RUE DU CALVAIRE||48.809128|6.722219
Autres|Restaurant|Châtenois|90261750500018|SEVEN|22-087065-1|[48.301431, 5.83814]|Restaurant|2022-10-25T02:00:00+02:00|88170|Satisfaisant|1 PL DE LA GARE||48.301431|5.83814
Autres|Restaurant|Paris 4e  Arrondissement|53193832200017|AL SOLITO POSTO|22-045269-1|[48.859837, 2.3506489999999998]|Restaurant|2022-05-25T02:00:00+02:00|75004|Satisfaisant|91 RUE SAINT-MARTIN||48.859837|2.350649
Autres|Restaurant|Paris 19e  Arrondissement|42342542000019|SANTA MONICA|22-042092-1|[48.877158, 2.395415]|Restaurant|2022-05-25T02:00:00+02:00|75019|Très satisfaisant|15 RUE HENRI RIBIERE||48.877158|2.395415
Autres|Restauration collective|Tulle|63204104262466|COMPASS GROUP FRANCE 9865|22-040846-1|[45.264533, 1.768809]|Restauration collective|2022-06-01T02:00:00+02:00|19000|Satisfaisant|Place Martial Brigouleix||45.264533|1.768809
Autres|Restaurant|Leucate|49840531500017|BIQUET|22-047631-1|[42.87966, 3.04742]|Restaurant|2022-06-21T02:00:00+02:00|11370|Satisfaisant|LEUCATE VILLAGE||42.87966|3.04742
Autres|Restauration collective|Anneyron|77939329700014|MAISON FAMILIALE RURALE ET D'EDUCATION|22-085408-1|[45.288981, 4.8593139999999995]|Restauration collective|2022-10-20T02:00:00+02:00|26140|Satisfaisant|10 rue de la république|26371201|45.288981|4.859314
